Date,NM confirmed,NV confirmed,NM deaths,NV deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,1,0,0
2020-03-06,0,2,0,0
2020-03-07,0,2,0,0
2020-03-08,0,4,0,0
2020-03-09,0,4,0,0
2020-03-10,0,7,0,0
2020-03-11,3,7,0,0
2020-03-12,5,11,0,0
2020-03-13,10,20,0,0
2020-03-14,13,21,0,0
2020-03-15,13,26,0,0
2020-03-16,21,45,0,1
2020-03-17,23,55,0,1
2020-03-18,28,55,0,1
2020-03-19,35,91,0,1
2020-03-20,43,153,0,2
2020-03-21,57,158,0,2
2020-03-22,65,194,0,2
2020-03-23,82,249,0,4
2020-03-24,95,281,0,6
2020-03-25,112,408,0,10
2020-03-26,136,536,1,10
2020-03-27,185,520,1,10
2020-03-28,208,637,2,14
2020-03-29,234,926,2,15
2020-03-30,281,1009,2,18
2020-03-31,315,1113,5,26
2020-04-01,362,1279,6,32
2020-04-02,403,1458,7,38
